03-27 23:30:13: Training starting...
03-27 23:30:26: New best reward 13.0 (-100.0%) at episode 0, saving model...
03-27 23:30:26: New best reward 26.0 (+100.0%) at episode 1, saving model...
03-27 23:30:26: New best reward 29.0 (+11.5%) at episode 5, saving model...
03-27 23:30:26: New best reward 37.0 (+27.6%) at episode 10, saving model...
03-27 23:30:26: New best reward 47.0 (+27.0%) at episode 13, saving model...
03-27 23:30:26: New best reward 51.0 (+8.5%) at episode 15, saving model...
03-27 23:30:26: New best reward 57.0 (+11.8%) at episode 20, saving model...
03-27 23:30:26: New best reward 63.0 (+10.5%) at episode 26, saving model...
03-27 23:30:26: New best reward 68.0 (+7.9%) at episode 31, saving model...
03-27 23:30:27: New best reward 84.0 (+23.5%) at episode 412, saving model...
03-27 23:30:27: New best reward 110.0 (+31.0%) at episode 581, saving model...
03-27 23:30:29: New best reward 149.0 (+35.5%) at episode 1003, saving model...
03-27 23:30:32: New best reward 182.0 (+22.1%) at episode 1729, saving model...
03-27 23:30:34: New best reward 198.0 (+8.8%) at episode 2115, saving model...
03-27 23:30:36: New best reward 280.0 (+41.4%) at episode 2340, saving model...
03-27 23:30:41: New best reward 369.0 (+31.8%) at episode 2513, saving model...
03-27 23:30:43: New best reward 493.0 (+33.6%) at episode 2597, saving model...
03-27 23:30:45: New best reward 503.0 (+2.0%) at episode 2756, saving model...
03-27 23:30:47: New best reward 589.0 (+17.1%) at episode 2897, saving model...
03-27 23:30:49: New best reward 682.0 (+15.8%) at episode 3018, saving model...
03-27 23:30:51: New best reward 698.0 (+2.3%) at episode 3119, saving model...
03-27 23:30:51: New best reward 953.0 (+36.5%) at episode 3121, saving model...
03-27 23:31:02: New best reward 1175.0 (+23.3%) at episode 3514, saving model...
03-27 23:31:45: New best reward 2772.0 (+135.9%) at episode 4234, saving model...
03-27 23:31:57: New best reward 3360.0 (+21.2%) at episode 4486, saving model...
03-27 23:31:57: New best reward 3814.0 (+13.5%) at episode 4488, saving model...
03-27 23:32:28: New best reward 7872.0 (+106.4%) at episode 4842, saving model...
03-27 23:35:09: New best reward 14821.0 (+88.3%) at episode 7681, saving model...
03-27 23:35:44: New best reward 21070.0 (+42.2%) at episode 7841, saving model...
03-27 23:35:55: New best reward 100000.0 (+374.6%) at episode 7853, saving model...
