03-27 23:58:36: Training starting...
03-27 23:58:37: New best reward -8.1 (-100.0%) at episode 0, saving model...
03-27 23:58:37: New best reward -5.1 (-37.0%) at episode 3, saving model...
03-27 23:58:38: New best reward -3.9 (-23.5%) at episode 51, saving model...
03-27 23:58:38: New best reward 0.9 (-123.1%) at episode 111, saving model...
03-27 23:58:47: New best reward 3.3 (+266.7%) at episode 2135, saving model...
03-27 23:58:56: New best reward 3.9 (+18.2%) at episode 4481, saving model...
03-27 23:59:04: New best reward 4.7 (+20.5%) at episode 6567, saving model...
03-27 23:59:33: New best reward 4.8 (+2.1%) at episode 12915, saving model...
03-27 23:59:33: New best reward 6.0 (+25.0%) at episode 12942, saving model...
03-28 00:00:18: New best reward 8.4 (+40.0%) at episode 15970, saving model...
03-28 00:00:59: New best reward 9.2 (+9.5%) at episode 21447, saving model...
03-28 00:01:20: New best reward 9.3 (+1.1%) at episode 25250, saving model...
03-28 00:01:51: New best reward 11.2 (+20.4%) at episode 27191, saving model...
03-28 00:04:59: New best reward 11.3 (+0.9%) at episode 53092, saving model...
03-28 00:06:02: New best reward 12.9 (+14.2%) at episode 57547, saving model...
03-28 00:07:46: New best reward 13.0 (+0.8%) at episode 63492, saving model...
03-28 00:09:49: New best reward 17.9 (+37.7%) at episode 68291, saving model...
03-28 00:11:52: New best reward 22.4 (+25.1%) at episode 74109, saving model...
03-28 00:12:23: New best reward 26.9 (+20.1%) at episode 75172, saving model...
03-28 00:13:09: New best reward 27.3 (+1.5%) at episode 80240, saving model...
03-28 00:13:12: New best reward 29.3 (+7.3%) at episode 80673, saving model...
03-28 00:13:16: New best reward 36.4 (+24.2%) at episode 81088, saving model...
03-28 00:13:29: New best reward 41.5 (+14.0%) at episode 82727, saving model...
03-28 00:19:51: New best reward 41.8 (+0.7%) at episode 99334, saving model...
03-28 00:21:07: New best reward 54.9 (+31.3%) at episode 108417, saving model...
03-28 00:24:50: New best reward 57.1 (+4.0%) at episode 134027, saving model...
03-28 00:26:25: New best reward 59.9 (+4.9%) at episode 144208, saving model...
03-28 00:37:32: New best reward 60.6 (+1.2%) at episode 209901, saving model...
03-28 00:39:34: New best reward 65.2 (+7.6%) at episode 221924, saving model...
03-28 00:40:15: New best reward 71.1 (+9.0%) at episode 226122, saving model...
03-28 00:52:11: New best reward 71.6 (+0.7%) at episode 293878, saving model...
03-28 01:01:27: New best reward 76.1 (+6.3%) at episode 343369, saving model...
03-28 01:08:57: New best reward 78.4 (+3.0%) at episode 385252, saving model...
03-28 02:00:07: New best reward 92.4 (+17.9%) at episode 603077, saving model...
03-28 02:50:42: New best reward 104.6 (+13.2%) at episode 772688, saving model...
03-28 06:12:40: New best reward 110.9 (+6.0%) at episode 1125885, saving model...
03-28 06:32:04: New best reward 118.5 (+6.9%) at episode 1144460, saving model...
